Date,Open,High,Low,Close,Adj Close,Volume
2014-06-02,559.164795,559.364258,544.235779,552.413330,552.413330,1435000
2014-06-03,549.481384,550.827698,541.064514,543.447937,543.447937,1866600
2014-06-04,540.017395,547.107910,537.274902,543.168701,543.168701,1816400
2014-06-05,544.903992,553.430542,542.959290,552.383423,552.383423,1689100
2014-06-06,556.532043,556.532043,547.427063,554.806763,554.806763,1736700
2014-06-09,555.624512,561.358765,554.517578,560.580933,560.580933,1467500
2014-06-10,558.975342,562.056885,556.372498,559.015198,559.015198,1351700
2014-06-11,556.472229,558.347046,553.500366,557.309875,557.309875,1100100
2014-06-12,555.774109,556.462219,546.958313,549.840393,549.840393,1458400
2014-06-13,550.747925,550.787842,544.066284,550.249268,550.249268,1220500
2014-06-16,547.756165,548.115173,540.037354,542.789795,542.789795,1702500
2014-06-17,542.709961,543.826904,537.853333,541.523254,541.523254,1444500
2014-06-18,543.368164,552.044373,542.510559,551.854858,551.854858,1741700
2014-06-19,552.722473,553.480408,547.008179,553.380676,553.380676,2456800
2014-06-20,555.325378,556.053345,548.885010,554.836670,554.836670,4508300
2014-06-23,553.630005,563.453064,552.732483,563.403198,563.403198,1536800
2014-06-24,563.642517,571.078125,559.473938,563.074097,563.074097,2207100
2014-06-25,563.712341,578.372070,563.672424,577.065674,577.065674,1969300
2014-06-26,579.409241,580.855286,570.284302,574.422913,574.422913,1741900
2014-06-27,575.599670,578.282349,572.228943,575.659546,575.659546,2236900
2014-06-30,577.075623,577.983154,573.176331,573.704895,573.704895,1313700
2014-07-01,576.736572,582.799927,575.071167,581.074646,581.074646,1447900
2014-07-02,581.752808,583.837097,578.800903,580.740601,580.740601,1056300
2014-07-03,581.752808,583.408264,579.329468,583.129028,583.129028,714100
2014-07-07,582.161682,584.824341,578.003113,580.655823,580.655823,1064600
2014-07-08,576.078369,577.941284,564.584961,569.526367,569.526367,1909500
2014-07-09,570.015015,575.140930,567.817078,574.502686,574.502686,1116700
2014-07-10,564.360535,575.011292,563.463013,569.536316,569.536316,1356700
2014-07-11,570.344116,579.259644,569.855469,577.594238,577.594238,1621700
2014-07-14,581.004822,583.607727,576.447388,583.268616,583.268616,1854000
2014-07-15,584.136230,584.201050,574.981384,583.178894,583.178894,1623000
2014-07-16,586.390076,586.788940,580.605957,581.064697,581.064697,1397100
2014-07-17,577.943237,579.399231,567.053162,572.159119,572.159119,3016500
2014-07-18,591.376404,595.165955,580.406494,593.450684,593.450684,4014100
2014-07-21,590.129822,592.772522,583.630615,587.856018,587.856018,2062100
2014-07-22,589.102600,598.008179,588.982971,593.111633,593.111633,1699100
2014-07-23,591.605774,596.213074,590.877747,594.348206,594.348206,1233100
2014-07-24,594.816956,597.858582,590.149719,591.725403,591.725403,1035100
2014-07-25,588.783508,590.239502,585.422729,587.407288,587.407288,932400
2014-07-28,586.459900,590.877747,583.151978,588.982971,588.982971,986800
2014-07-29,587.138000,588.085388,581.917358,584.006592,584.006592,1349800
2014-07-30,584.944031,587.885986,582.401001,585.811646,585.811646,1016400
2014-07-31,579.010315,582.052002,568.439331,570.034973,570.034973,2102700
