WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation absol. [l/m²] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 precipitation diff. [l/m²] Act;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 sum of particles [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 hail flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 sum of snow-flakes [] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act
2017-04-21 00:00:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:01:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:02:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:03:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:04:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:05:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:06:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:07:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-21 00:08:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:09:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-21 00:10:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.7400;    0;0.0000;    0
2017-04-21 00:11:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:12:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:13:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:14:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:15:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:16:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:17:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:18:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-21 00:19:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4000;    0;0.0000;    0
2017-04-21 00:20:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:21:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:22:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:23:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:24:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:25:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:26:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:27:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:28:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:29:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:30:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:31:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:32:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:33:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:34:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:35:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:36:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:37:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.6500;    0;0.0000;    0
2017-04-21 00:38:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.5700;    0;0.0000;    0
2017-04-21 00:39:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
2017-04-21 00:40:16;0.0000;    0;0.0000;0.0000;0.0000;    0;    0;    0;    0;    0;    0;    0;    0;19.4800;    0;0.0000;    0
