WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-02-28;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;   58
2017-02-28 00:01:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;   58
2017-02-28 00:02:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;   57
2017-02-28 00:03:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;   56
2017-02-28 00:04:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;   55
2017-02-28 00:05:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;   54
2017-02-28 00:06:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.1600;0.0000;    0;   53
2017-02-28 00:07:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;   52
2017-02-28 00:08:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;   51
2017-02-28 00:09:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:10:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:11:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:12:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:13:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:14:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:15:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:16:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:17:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:18:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:19:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:20:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:21:01;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;   50
2017-02-28 00:22:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:23:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:24:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:25:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:26:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:27:02;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;   49
2017-02-28 00:28:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:29:01;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;   48
2017-02-28 00:30:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:31:03;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;   48
2017-02-28 00:32:01;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;   48
2017-02-28 00:33:01;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.8200;0.0000;    0;   47
2017-02-28 00:34:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:35:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.7400;0.0000;    0;   47
2017-02-28 00:36:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:37:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:38:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:39:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:40:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:41:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:42:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:43:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:44:03;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame
2017-02-28 00:45:03;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame;Incomplete frame
2017-02-28 00:46:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:47:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:48:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:49:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:50:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:51:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:52:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:53:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:54:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:55:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:56:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:57:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:58:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 00:59:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:00:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:01:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:02:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:03:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:04:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:05:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:06:03;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer;No answer
2017-02-28 01:07:03;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;20.0700;0.0000;    0;   44
2017-02-28 01:08:02;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9900;0.0000;    0;   44
2017-02-28 01:09:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;   43
2017-02-28 01:10:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;   42
2017-02-28 01:11:00;0.0000;187.0900;    0;    0;    0;    0;    0;    0;    0;19.9000;0.0000;    0;   41
