WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation absol. [l/m²] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 precipitation diff. [l/m²] Act;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 sum of particles [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 hail flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 sum of snow-flakes [] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act
2017-06-16 00:00:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;14.0300;    0;0.0000;    0
2017-06-16 00:01:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;14.0300;    0;0.0000;    0
2017-06-16 00:02:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;14.0300;    0;0.0000;    0
2017-06-16 00:03:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;14.0300;    0;0.0000;    0
2017-06-16 00:04:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;14.0300;    0;0.0000;    0
2017-06-16 00:05:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.8000;    0;0.0000;    0
2017-06-16 00:06:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.3300;    0;0.0000;    0
2017-06-16 00:07:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.7200;    0;0.0000;    0
2017-06-16 00:08:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.9500;    0;0.0000;    0
2017-06-16 00:09:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.2500;    0;0.0000;    0
2017-06-16 00:10:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.1700;    0;0.0000;    0
2017-06-16 00:11:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.4900;    0;0.0000;    0
2017-06-16 00:12:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.2500;    0;0.0000;    0
2017-06-16 00:13:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.9300;    0;0.0000;    0
2017-06-16 00:14:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.4900;    0;0.0000;    0
2017-06-16 00:15:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.5600;    0;0.0000;    0
2017-06-16 00:16:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.8000;    0;0.0000;    0
2017-06-16 00:17:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.8700;    0;0.0000;    0
2017-06-16 00:18:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.2500;    0;0.0000;    0
2017-06-16 00:19:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.1700;    0;0.0000;    0
2017-06-16 00:20:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.2500;    0;0.0000;    0
2017-06-16 00:21:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.8600;    0;0.0000;    0
2017-06-16 00:22:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.1700;    0;0.0000;    0
2017-06-16 00:23:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.0900;    0;0.0000;    0
2017-06-16 00:24:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.6400;    0;0.0000;    0
2017-06-16 00:25:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.4900;    0;0.0000;    0
2017-06-16 00:26:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.0900;    0;0.0000;    0
2017-06-16 00:27:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.1700;    0;0.0000;    0
2017-06-16 00:28:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.2500;    0;0.0000;    0
2017-06-16 00:29:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.8600;    0;0.0000;    0
2017-06-16 00:30:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.4700;    0;0.0000;    0
2017-06-16 00:31:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.3900;    0;0.0000;    0
2017-06-16 00:32:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.2400;    0;0.0000;    0
2017-06-16 00:33:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.3900;    0;0.0000;    0
2017-06-16 00:34:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.2400;    0;0.0000;    0
2017-06-16 00:35:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;12.5500;    0;0.0000;    0
2017-06-16 00:36:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.0100;    0;0.0000;    0
2017-06-16 00:37:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.2500;    0;0.0000;    0
2017-06-16 00:38:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.4900;    0;0.0000;    0
2017-06-16 00:39:10;66.8200;    0;0.0000;0.0000;66.8200;    0;    0;    0;    0;    0;    0;    0;    0;13.5600;    0;0.0000;    0
