WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-02-07;0.0600;106.9200;   60;   22;   60;    2;    1;    1;    0;21.6400;0.1654;    0;    3
2017-02-07 00:01:00;0.0300;106.9500;   60;   13;   41;    0;    0;    1;    0;21.6400;0.0709;    0;    2
2017-02-07 00:02:00;0.0300;106.9800;   60;    4;   35;    0;    0;    1;    0;21.6400;0.0472;    0;    0
2017-02-07 00:03:00;0.0100;106.9900;   60;    0;   24;    0;    0;    1;    0;21.5500;0.0472;    0;    5
2017-02-07 00:04:00;0.0100;107.0000;   60;   12;   26;    0;    0;    1;    0;21.6400;0.0236;    0;   11
2017-02-07 00:05:00;0.0200;107.0200;   60;    4;   42;    0;    0;    1;    0;21.4600;0.0472;    0;   17
2017-02-07 00:06:00;0.0100;107.0300;   60;   20;   26;    0;    0;    1;    0;21.5500;0.0472;    0;   27
2017-02-07 00:07:00;0.0000;107.0300;   60;    0;    7;    0;    0;    0;    0;21.4600;0.0000;    0;   36
2017-02-07 00:08:00;0.0100;107.0400;   60;    0;    0;    0;    0;    0;    0;21.4600;0.0236;    0;    3
2017-02-07 00:09:00;0.0000;107.0400;   60;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;    9
2017-02-07 00:10:00;0.0000;107.0400;    0;    0;    0;    0;    0;    0;    0;21.4600;0.0000;    0;   13
2017-02-07 00:11:00;0.0000;107.0400;    0;    0;    0;    0;    0;    0;    0;21.4600;0.0000;    0;   14
2017-02-07 00:12:00;0.0000;107.0400;    0;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;   13
2017-02-07 00:13:00;0.0000;107.0400;    0;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;   14
2017-02-07 00:14:00;0.0000;107.0400;    0;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;   13
