WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2016-12-25;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.9000;0.0000;    0;    0
2016-12-25 00:01:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.8100;0.0000;    0;    0
2016-12-25 00:02:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.6400;0.0000;    0;    0
2016-12-25 00:03:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.4600;0.0000;    0;    0
2016-12-25 00:04:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:05:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:06:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.7200;0.0000;    0;    0
2016-12-25 00:07:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.7200;0.0000;    0;    0
2016-12-25 00:08:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.8100;0.0000;    0;    0
2016-12-25 00:09:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.7200;0.0000;    0;    0
2016-12-25 00:10:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:11:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.4600;0.0000;    0;    0
2016-12-25 00:12:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;    0
2016-12-25 00:13:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:14:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:15:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:16:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:17:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:18:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:19:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.6400;0.0000;    0;    0
2016-12-25 00:20:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.8100;0.0000;    0;    0
2016-12-25 00:21:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;    0
2016-12-25 00:22:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:23:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:24:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:25:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;    0
2016-12-25 00:26:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;    0
2016-12-25 00:27:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;    0
2016-12-25 00:28:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;20.9300;0.0000;    0;    0
2016-12-25 00:29:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;20.8500;0.0000;    0;    0
2016-12-25 00:30:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;    0
2016-12-25 00:31:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;    0
2016-12-25 00:32:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:33:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:34:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:35:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:36:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.7200;0.0000;    0;    0
2016-12-25 00:37:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.8100;0.0000;    0;    0
2016-12-25 00:38:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.7200;0.0000;    0;    0
2016-12-25 00:39:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.7200;0.0000;    0;    0
2016-12-25 00:40:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.6400;0.0000;    0;    0
2016-12-25 00:41:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:42:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.5500;0.0000;    0;    0
2016-12-25 00:43:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.4600;0.0000;    0;    0
2016-12-25 00:44:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.4600;0.0000;    0;    0
2016-12-25 00:45:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:46:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:47:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.1100;0.0000;    0;    0
2016-12-25 00:48:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.1100;0.0000;    0;    0
2016-12-25 00:49:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.0200;0.0000;    0;    0
2016-12-25 00:50:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.1100;0.0000;    0;    0
2016-12-25 00:51:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.1100;0.0000;    0;    0
2016-12-25 00:52:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.1100;0.0000;    0;    0
2016-12-25 00:53:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:54:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:55:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:56:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:57:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2000;0.0000;    0;    0
2016-12-25 00:58:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.2900;0.0000;    0;    0
2016-12-25 00:59:00;0.0000;298.0900;    0;    0;    0;    0;    0;    0;    0;21.3700;0.0000;    0;    0
