WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-23 09:28:00;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-01-23 10:14:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.5100;0.0000;    0;   20
2017-01-23 10:15:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.8700;0.0000;    0;   19
2017-01-23 10:16:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;   18
2017-01-23 10:17:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.6000;0.0000;    0;   17
2017-01-23 10:18:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;   16
2017-01-23 10:19:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;   16
2017-01-23 10:20:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;   15
2017-01-23 10:21:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.6000;0.0000;    0;   14
2017-01-23 10:22:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.7800;0.0000;    0;   13
2017-01-23 10:23:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.6000;0.0000;    0;   12
2017-01-23 10:24:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.6000;0.0000;    0;   15
2017-01-23 10:25:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.8700;0.0000;    0;   14
2017-01-23 10:26:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;23.4200;0.0000;    0;   13
2017-01-23 10:27:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.0500;0.0000;    0;   12
2017-01-23 10:28:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.0500;0.0000;    0;   11
2017-01-23 10:29:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.1400;0.0000;    0;   10
2017-01-23 10:30:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.0500;0.0000;    0;   10
2017-01-23 10:31:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.1400;0.0000;    0;    9
2017-01-23 10:32:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.3300;0.0000;    0;    8
2017-01-23 10:33:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.3300;0.0000;    0;    7
2017-01-23 10:34:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.6100;0.0000;    0;    6
2017-01-23 10:35:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.7900;0.0000;    0;    5
2017-01-23 10:36:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.6100;0.0000;    0;    4
2017-01-23 10:37:00;0.0000;170.5300;    0;    0;    0;    0;    0;    0;    0;24.8800;0.0000;    0;    3
