WARNING: TIME INFORMATION IS LOCALTIME  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;R2S-UMB ID1 precipitation diff. [mm] Act;R2S-UMB ID1 precipitation absol. [mm] Act;R2S-UMB ID1 precipitation type [] Act;R2S-UMB ID1 sum of drizzle-drops [events] Act;R2S-UMB ID1 sum of rain-drops [events] Act;R2S-UMB ID1 sum of hail [events] Act;R2S-UMB ID1 drizzle flag [] Act;R2S-UMB ID1 rain flag [] Act;R2S-UMB ID1 snow flag [] Act;R2S-UMB ID1 ambient temperature [°C] Act;R2S-UMB ID1 precipitat.intensity [in/h] Act;R2S-UMB ID1 sum of hail [] Act;R2S-UMB ID1 sum of rain-drops [] Act
2017-01-11;0.0100;55.5700;   60;    6;   21;    0;    0;    1;    0;21.6400;0.0236;    0;    3
2017-01-11 00:01:00;0.0100;55.5800;   60;   10;   17;    0;    0;    1;    0;21.6400;0.0472;    0;    0
2017-01-11 00:02:00;0.0100;55.5900;   60;    0;   14;    0;    0;    1;    0;21.5500;0.0000;    0;    1
2017-01-11 00:03:00;0.0100;55.6000;   60;   14;   16;    0;    0;    1;    0;21.5500;0.0472;    0;   13
2017-01-11 00:04:00;0.0200;55.6200;   60;    5;   32;    0;    0;    1;    0;21.5500;0.0472;    0;   11
2017-01-11 00:05:00;0.0100;55.6300;   60;   17;   21;    0;    1;    1;    0;21.6400;0.0236;    0;   24
2017-01-11 00:06:00;0.0200;55.6500;   60;    2;   20;    0;    0;    1;    0;21.5500;0.0236;    0;    3
2017-01-11 00:07:00;0.0200;55.6700;   60;    9;   28;    2;    0;    1;    0;21.6400;0.0709;    0;   10
2017-01-11 00:08:00;0.0200;55.6900;   60;    7;   26;    0;    0;    1;    0;21.5500;0.0472;    0;   16
2017-01-11 00:09:00;0.0200;55.7100;   60;    1;   24;    0;    0;    1;    0;21.6400;0.0236;    0;    1
